Question (AR),Question (EN),Answer (AR),Answer (EN),Category (AR),Subcategory (AR),Category (EN),Subcategory (EN)
من فاز بأول دوري إنجليزي ممتاز بنظامه الحديث؟,Which club won the first Premier League season after rebranding in 1992-93?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ تعاقد مع رونالدو من سبورتينغ؟,Which club signed Ronaldo from Sporting?,مانشستر يونايتد,Manchester United,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل الهدف الطائر في نهائي يورو 1988؟,Which player scored the famous volley in the Euro 1988 final?,ماركو فان باستن,Marco van Basten,⚽ رياضة,كرة قدم,⚽ Sports,Football
من لُقب ببجعة أوتريخت؟,Which Dutch legend was nicknamed The Swan of Utrecht?,ماركو فان باستن,Marco van Basten,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل هدف الفوز في نهائي 2014؟,Who scored the winning goal in the 2014 World Cup final?,ماريو غوتزه,Mario Götze,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ديربي ليفربول وإيفرتون؟,Which city derby is Liverpool vs Everton?,ديربي ميرسيسايد,Merseyside Derby,⚽ رياضة,كرة قدم,⚽ Sports,Football
من الهداف التاريخي لكأس العالم؟,Who is the all-time World Cup top scorer?,ميروسلاف كلوزه,Miroslav Klose,⚽ رياضة,كرة قدم,⚽ Sports,Football
من يُلقب بالملك المصري؟,Which player is nicknamed The Egyptian King?,محمد صلاح,Mohamed Salah,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي منتخب يُعرف بالأورانج؟,Which country is known as Oranje?,هولندا,Netherlands,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 1988؟,Which country won Euro 1988?,هولندا,Netherlands,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت يورو 2000 مع بلجيكا؟,Which country hosted Euro 2000 jointly with Belgium?,هولندا,Netherlands,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ أمريكي لعب بيليه؟,Which American club did Pelé play for?,نيويورك كوزموس,New York Cosmos,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب إرلينغ هالاند؟,Which country does Erling Haaland represent?,النرويج,Norway,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب أوديغارد؟,Which country does Martin Ødegaard represent?,النرويج,Norway,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالكناري؟,Which club is known as The Canaries?,نوريتش سيتي,Norwich City,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم مباراة سيلتيك ورينجرز؟,Which derby is Celtic vs Rangers?,أولد فيرم,Old Firm,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي ملعب يُعرف بمسرح الأحلام؟,What stadium is known as the Theatre of Dreams?,أولد ترافورد,Old Trafford,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما ملعب باريس سان جيرمان؟,What is PSG's home stadium?,بارك دي برانس,Parc des Princes,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالدوري الفرنسي 2024؟,Which club won Ligue 1 in 2024?,باريس سان جيرمان,Paris Saint-Germain,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي أسطورة برازيلية كانت تُعرف بـ الملك؟,Which Brazilian legend was known as O Rei?,بيليه,Pelé,⚽ رياضة,كرة قدم,⚽ Sports,Football
ماذا يُحتسب عند ارتكاب خطأ داخل منطقة الجزاء؟,What is awarded for a foul inside the penalty area?,ركلة جزاء,Penalty Kick,⚽ رياضة,كرة قدم,⚽ Sports,Football
من قاد مانشستر سيتي للثلاثية في 2023؟,Which manager led Manchester City to the 2023 treble?,بيب غوارديولا,Pep Guardiola,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول دوري أمم أوروبا؟,Which country won the first UEFA Nations League?,البرتغال,Portugal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بيورو 2016؟,Which country won Euro 2016?,البرتغال,Portugal,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب كريستيانو رونالدو؟,Which country does Cristiano Ronaldo represent?,البرتغال,Portugal,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت كأس العالم 2022؟,Which country hosted the 2022 World Cup?,قطر,Qatar,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ لعب كاسياس معظم مسيرته؟,Which club did Iker Casillas spend most of his career with?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2022؟,Which club won the Champions League in 2022?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
إلى أي نادٍ انتقل مودريتش من توتنهام؟,Which club did Luka Modrić join from Tottenham?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ فاز بأكبر عدد من كؤوس العالم للأندية؟,Which club has won the most FIFA Club World Cups?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ فاز بأكبر عدد من ألقاب دوري الأبطال؟,Which club has won the most UEFA Champions League titles?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأبطال 2024؟,Which club won the Champions League in 2024?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ يلعب جود بيلينغهام؟,Which club does Jude Bellingham play for?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالدوري الإسباني 2024؟,Which club won La Liga in 2024?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول نسخة من دوري أبطال أوروبا؟,Which club won the first Champions League?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ ارتبط بمصطلح الجلاكتيكوس؟,Which club is nicknamed The Galácticos?,ريال مدريد,Real Madrid,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2024؟,Who won the Ballon d'Or in 2024?,رودري,Rodri,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول دوري مؤتمر أوروبي؟,Which nation won the inaugural UEFA Conference League?,روما,Roma,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بالكرة الذهبية 2005؟,Which player won the 2005 Ballon d'Or?,رونالدينيو,Ronaldinho,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نجم برازيلي اشتهر بحركة الإيلاستيكو؟,Which Brazilian star was famous for the elastico skill?,رونالدينيو,Ronaldinho,⚽ رياضة,كرة قدم,⚽ Sports,Football
من كان يُعرف بالظاهرة؟,Which player was known as El Fenómeno?,رونالدو نازاريو,Ronaldo Nazário,⚽ رياضة,كرة قدم,⚽ Sports,Football
من أكثر لاعب برازيلي تسجيلاً في كأس العالم؟,Which player scored the most goals in World Cup history for Brazil?,رونالدو نازاريو,Ronaldo Nazário,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت كأس العالم 2018؟,Which country hosted the 2018 World Cup?,روسيا,Russia,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب أفريقي حل بأعلى مركز في 2022؟,Which African player won the 2022 Ballon d'Or ranking highest?,ساديو ماني,Sadio Mané,⚽ رياضة,كرة قدم,⚽ Sports,Football
من سجل أسرع هاتريك في الدوري الإنجليزي؟,Which player scored the fastest Premier League hat-trick?,ساديو ماني,Sadio Mané,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب منتخب اليابان؟,What is the nickname of the Japanese national team?,الساموراي الأزرق,Samurai Blue,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الملعب الذي يتشاركه ميلان وإنتر؟,Which stadium do AC Milan and Inter share?,سان سيرو,San Siro,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما ملعب ريال مدريد؟,What is Real Madrid's home stadium?,سانتياغو برنابيو,Santiago Bernabéu,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي نادٍ لعب بيليه معظم مسيرته؟,Which Brazilian club did Pelé play for most of his career?,سانتوس,Santos,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس أمم أفريقيا 2021؟,Which country won AFCON 2021?,السنغال,Senegal,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب يلعب ساديو ماني؟,Which country does Sadio Mané represent?,السنغال,Senegal,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما ملعب بوروسيا دورتموند؟,What is the home stadium of Borussia Dortmund?,سيغنال إيدونا بارك,Signal Iduna Park,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي ملعب يشتهر بالجدار الأصفر؟,Which stadium is known as the Yellow Wall?,سيغنال إيدونا بارك,Signal Iduna Park,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت كأس العالم 2010؟,Which country hosted the 2010 World Cup?,جنوب أفريقيا,South Africa,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما أول دولة أفريقية استضافت كأس العالم؟,Which was the first African country to host a World Cup?,جنوب أفريقيا,South Africa,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالقديسين؟,Which club is nicknamed The Saints?,ساوثهامبتون,Southampton,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول بطولة أمم أوروبا؟,Which country won the first UEFA European Championship?,الاتحاد السوفيتي,Soviet Union,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 2012؟,Which country won Euro 2012?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بيورو 2008؟,Which country won Euro 2008?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بدوري الأمم الأوروبية 2023؟,Which country won the UEFA Nations League 2023?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بيورو 2024؟,Which country won Euro 2024?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 2010؟,Which country won the 2010 World Cup?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بذهبية أولمبياد 1992؟,Which country won the Olympic football gold in 1992?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم للسيدات 2023؟,Which country won the 2023 Women's World Cup?,إسبانيا,Spain,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ برتغالي خرّج رونالدو؟,Which Portuguese club developed Cristiano Ronaldo?,سبورتينغ لشبونة,Sporting CP,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اسم ديربي بوكا وريفر؟,What is the derby between Boca and River called?,السوبر كلاسيكو,Superclásico,⚽ رياضة,كرة قدم,⚽ Sports,Football
لأي منتخب لعب زلاتان ايبراهيموفيتش؟,Which country does Zlatan ibrahimovic represent?,السويد,Sweden,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لقب فريق أرسنال الذي لم يخسر؟,What nickname was given to Arsenal's unbeaten team?,اللامقهورون,The Invincibles,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول كوبا أمريكا؟,Which country won the first Copa América?,الأوروغواي,Uruguay,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1930؟,Which country won the 1930 World Cup?,الأوروغواي,Uruguay,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول كأس عالم؟,Which nation won the first FIFA World Cup?,الأوروغواي,Uruguay,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة استضافت أول كأس عالم؟,Which country hosted the first FIFA World Cup?,الأوروغواي,Uruguay,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بأول كأس عالم للسيدات؟,Which nation won the first Women's World Cup?,الولايات المتحدة,USA,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي دولة فازت بأكبر عدد من كؤوس العالم للسيدات؟,Which country has won the most Women's World Cups?,الولايات المتحدة,USA,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم للسيدات 1999؟,Which nation won the 1998 Women's World Cup?,الولايات المتحدة,USA,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما الآلة الموسيقية التي اشتهرت في مونديال 2010؟,What instrument became famous at the 2010 World Cup?,الفوفوزيلا,Vuvuzela,⚽ رياضة,كرة قدم,⚽ Sports,Football
من فاز بكأس العالم 1974؟,Which country won the 1974 FIFA World Cup?,ألمانيا الغربية,West Germany,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي نادٍ يُلقب بالمطارق؟,Which club is known as The Hammers?,وست هام,West Ham United,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي لاعب وسط إسباني لُقب بالمهندس؟,Which Spanish midfielder was nicknamed The Architect?,تشافي,Xavi,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما اللون الأساسي لبوروسيا دورتموند؟,What is Borussia Dortmund's primary color?,الأصفر,Yellow,⚽ رياضة,كرة قدم,⚽ Sports,Football
ما لون قميص البرازيل الأساسي؟,What color is the traditional home kit of Brazil?,الأصفر,Yellow,⚽ رياضة,كرة قدم,⚽ Sports,Football
أي أسطورة فرنسية طُردت في نهائي 2006؟,Which French legend was sent off in the 2006 World Cup final?,زين الدين زيدان,Zinedine Zidane,⚽ رياضة,كرة قدم,⚽ Sports,Football
كم نقطة تساوي الرمية الحرة؟,How many points is a free throw worth?,1,1,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم نقطة تساوي التسديدة من خارج القوس؟,How many points is a shot made from behind the arc worth?,3,3,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم لاعباً من الفريق الواحد يكون داخل الملعب في مباراة كرة سلة؟,How many players from one team are on the court at a time in a basketball game?,5,5,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم بطولة فاز بها روبرت هوري؟,How many NBA championships did Robert Horry win?,7,7,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما الرقم الشهير لمايكل جوردان؟,What number did Michael Jordan famously wear?,23,23,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما الرقم المرتبط بليبرون جيمس؟,What number is associated with LeBron James?,23,23,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي عام اختُرعت كرة السلة؟,In which year was basketball invented?,1891,1891,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم مدة الربع في فيبا؟,How many minutes is each FIBA quarter?,10 دقائق,10 minutes,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم مدة مباراة فيبا؟,How long is a FIBA game?,40 دقيقة,40 minutes,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
كم مدة مباراة NBA الرسمية؟,How long is an NBA game?,48 دقيقة,48 minutes,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من حل وصيفاً لكأس العالم 2019 في كرة السلة؟,Which country finished runner-up at the basketball 2019 World Cup?,الأرجنتين,Argentina,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة ينحدر جويل إمبيد؟,Which country is Joel Embiid originally from?,الكاميرون,Cameroon,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي دولة وُلد ديكيمبي موتومبو؟,Which country was Dikembe Mutombo born in?,الكونغو الديمقراطية,DR Congo,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي مؤتمر يضم السيلتيكس؟,Which conference includes the Celtics?,المؤتمر الشرقي,Eastern Conference,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي مؤتمر يضم الليكرز؟,Which conference includes the Lakers?,المؤتمر الغربي,Western Conference,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بذهبية أولمبياد 2024؟,Which country won Olympic gold in men's basketball in 2024?,الولايات المتحدة,United States,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي دولة فازت بأول ذهبية أولمبية في كرة السلة للرجال؟,Which country won the first Olympic men's basketball gold medal?,الولايات المتحدة,United States,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بذهبية كرة السلة للسيدات في أولمبياد 2024؟,Which country won the Women's Olympic Basketball Gold in 2024?,الولايات المتحدة,United States,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما أهم بطولة أندية في أوروبا في كرة السلة؟,What is Europe's top club competition in basketball?,اليوروليغ,EuroLeague,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة يانيس أنتيتوكونمبو؟,Which country is Giannis Antetokounmpo from?,اليونان,Greece,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بيوروباسكت 2022؟,Which country won EuroBasket 2022?,إسبانيا,Spain,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بكأس العالم 2019؟,Which country won the FIBA World Cup in 2019?,إسبانيا,Spain,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق كرة سلة يقع في إنديانابوليس؟,Which NBA team is based in Indianapolis?,إنديانا بيسرز,Indiana Pacers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي جامعة لعب لاري بيرد؟,Which college did Larry Bird attend?,إنديانا ستيت,Indiana State,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق لعب دومينيك ويلكنز؟,Which team did Dominique Wilkins star for?,أتلانتا هوكس,Atlanta Hawks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من أي دولة ديرك نوفيتسكي؟,Which country is Dirk Nowitzki from?,ألمانيا,Germany,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بكأس العالم 2023؟,Which country won the 2023 FIBA World Cup?,ألمانيا,Germany,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من لاعب كرة السلة الذي يُعرف بالإجابة؟,"Which NBA player is known as ""The Answer""?",ألين آيفرسون,Allen Iverson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2001؟,Which NBA player won the 2001 NBA MVP?,ألين آيفرسون,Allen Iverson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من ساهم في انتشار أكمام الذراع؟,Which NBA player popularized shooting sleeves?,ألين آيفرسون,Allen Iverson,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالرجل النملة؟,Which NBA player is nicknamed Ant-Man?,أنتوني إدواردز,Anthony Edwards,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالحاجب؟,"Which NBA player is known as ""The Brow""?",أنتوني ديفيس,Anthony Davis,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من كان الاختيار الأول في درافت 2012؟,Which NBA player was the first overall pick in 2012?,أنتوني ديفيس,Anthony Davis,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بـ AK-47؟,Which NBA player is nicknamed AK-47?,أندريه كيريلينكو,Andrei Kirilenko,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق كرة سلة يقع في مدينة أورلاندو؟,Which NBA team is based in Orlando?,أورلاندو ماجيك,Orlando Magic,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما البطولة المعروفة باسم March Madness؟,What tournament is known as March Madness?,بطولة NCAA,NCAA Tournament,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بـ Big Ben؟,Which NBA player is nicknamed Big Ben?,بن والاس,Ben Wallace,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بأربع جوائز أفضل مدافع؟,Which defensive specialist won four Defensive Player awards?,بن والاس,Ben Wallace,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق كرة سلة يقع في مدينة بورتلاند؟,Which NBA team is based in Portland?,بورتلاند ترايل بليزرز,Portland Trail Blazers,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق فاز بأكبر عدد من بطولات NBA؟,Which NBA team has won the most championships?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز ببطولة NBA عام 2024؟,Which team won the NBA championship in 2024?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق لعب لاري بيرد؟,Which team did Larry Bird play for?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق اختار بول بيرس؟,Which team drafted Paul Pierce?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بلقب NBA عام 2008؟,Which team won the NBA title in 2008?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق يملك شعار النفل الأخضر؟,Which NBA team has a shamrock logo?,بوسطن سيلتيكس,Boston Celtics,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالحقيقة؟,Which NBA player is known as The Truth?,بول بيرس,Paul Pierce,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ Finals MVP عام 2008؟,Which NBA player won Finals MVP in 2008?,بول بيرس,Paul Pierce,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من كان يُعرف بـ Pistol Pete؟,Which NBA player was known as Pistol Pete?,بيت مارافيتش,Pete Maravich,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق كرة سلة يقع في نيو أورلينز؟,Which NBA team is based in New Orleans?,بيليكانز,Pelicans,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما الفريق الذي كان يُعرف بالهورنتس في نيو أورلينز؟,Which team was formerly known as the Hornets in New Orleans?,بيليكانز,Pelicans,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بتلة الارتدادات؟,Which NBA player is nicknamed The Round Mound of Rebound?,تشارلز باركلي,Charles Barkley,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالسير تشارلز؟,Which NBA player is nicknamed Sir Charles?,تشارلز باركلي,Charles Barkley,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ Finals MVP عام 2004؟,Which NBA player was Finals MVP in 2004?,تشاونسي بيلبس,Chauncey Billups,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُلقب بالسيد التسديدة الكبيرة؟,Which NBA player was nicknamed Mr. Big Shot?,تشاونسي بيلبس,Chauncey Billups,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما القاعة الرئيسية للواريرز؟,Which arena is home to the Golden State Warriors?,تشيس سنتر,Chase Center,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة مينيسوتا؟,Which NBA team is based in Minnesota?,تمبروولفز,Timberwolves,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة تورونتو؟,Which NBA franchise plays in Toronto?,تورونتو رابتورز,Toronto Raptors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA فاز بأول لقب له عام 2019؟,Which team won its first NBA title in 2019?,تورونتو رابتورز,Toronto Raptors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما الفريق الكندي في NBA؟,Which Canadian team plays in the NBA?,تورونتو رابتورز,Toronto Raptors,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
ما القاعة الرئيسية للبوستون سيلتيكس؟,Which arena is home to the Boston Celtics?,تي دي غاردن,TD Garden,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي لاعب NBA يُلقب بالأساسيات الكبرى؟,"Which NBA player is nicknamed ""The Big Fundamental""?",تيم دنكان,Tim Duncan,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP النهائيات 2024؟,Which NBA player won the 2024 NBA Finals MVP?,جايلن براون,Jaylen Brown,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فيلم ألهم اسم الرابتورز في ال NBA؟,Which movie inspired the Raptors name?,جوراسيك بارك,Jurassic Park,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالدكتور جي في ال NBA؟,Which NBA player was nicknamed Dr. J?,جوليوس إيرفينغ,Julius Erving,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي أسطورة ساهمت في شهرة الدانك؟,Which ABA legend popularized slam dunks?,جوليوس إيرفينغ,Julius Erving,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يملك الرقم القياسي للتمريرات الحاسمة؟,Which NBA player holds the NBA record for most assists?,جون ستوكتون,John Stockton,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يملك الرقم القياسي لسرقات الكرة في ال NBA؟,Which NBA player holds the NBA record for most steals?,جون ستوكتون,John Stockton,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2023 في ال NBA؟,Which NBA player won MVP in 2023?,جويل إمبيد,Joel Embiid,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالعملية في ال NBA؟,Which NBA player is known as The Process?,جويل إمبيد,Joel Embiid,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف بالشعار في ال NBA؟,Which NBA player is known as The Logo?,جيري ويست,Jerry West,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
صورة أي لاعب تظهر في شعار NBA؟,Whose silhouette appears on the NBA logo?,جيري ويست,Jerry West,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من اخترع كرة السلة؟,Who invented basketball?,جيمس نايسميث,James Naismith,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف باللحية؟,"Which NBA player is known as ""The Beard""?",جيمس هاردن,James Harden,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بـ MVP عام 2018؟,Which NBA player won the 2018 NBA MVP?,جيمس هاردن,James Harden,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من يُعرف الحلم في ال NBA؟,Which NBA player is nicknamed The Dream?,حكيم أولاجوان,Hakeem Olajuwon,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق NBA يقع في مدينة دالاس؟,Which team is based in Dallas?,دالاس مافريكس,Dallas Mavericks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق يلعب أنتوني ديفيس؟,Which team does Anthony Davis play for (2025-26 season)?,دالاس مافريكس,Dallas Mavericks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق يملك شعار الحصان  في ال NBA؟,Which NBA team has a horse logo?,دالاس مافريكس,Dallas Mavericks,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
لأي فريق  في ال NBA يلعب نيكولا يوكيتش؟,Which team does Nikola Jokić play for?,دنفر ناغتس,Denver Nuggets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
أي فريق فاز بأول لقب له عام 2023  في ال NBA؟,Which team won its first NBA title in 2023?,دنفر ناغتس,Denver Nuggets,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من قاد أورلاندو لنهائي 2009  في ال NBA؟,Which NBA player led Orlando to the 2009 Finals?,دوايت هاورد,Dwight Howard,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من لُقب بسوبرمان  في ال NBA؟,Which NBA player was nicknamed Superman?,دوايت هاورد,Dwight Howard,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
من فاز بالدانك مرتدياً زي سوبرمان؟,Which NBA player won the 2008 Slam Dunk Contest dressed as Superman?,دوايت هاورد,Dwight Howard,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
في أي مدينة يلعب فريق البيستونز؟,Which city hosts the Pistons?,ديترويت,Detroit,⚽ رياضة,كرة سلة,⚽ Sports,Basketball
